boloname  pixelname  wafer  pair  pixel  az   el   polang   poleff   sigma_x   sigma_y   beam_theta 
10.4_4b  10.4_4  10.4  b  4  -0.043220  1.356640  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_5t  10.4_5  10.4  t  5  -0.129660  1.356640  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_5b  10.4_5  10.4  b  5  -0.129660  1.356640  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_6t  10.4_6  10.4  t  6  -0.216101  1.356640  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_6b  10.4_6  10.4  b  6  -0.216101  1.356640  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_7t  10.4_7  10.4  t  7  0.259321  1.281780  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_7b  10.4_7  10.4  b  7  0.259321  1.281780  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_8t  10.4_8  10.4  t  8  0.172880  1.281780  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_8b  10.4_8  10.4  b  8  0.172880  1.281780  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_9t  10.4_9  10.4  t  9  0.086440  1.281780  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_9b  10.4_9  10.4  b  9  0.086440  1.281780  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_10t  10.4_10  10.4  t  10  0.000000  1.281780  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_10b  10.4_10  10.4  b  10  0.000000  1.281780  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_11t  10.4_11  10.4  t  11  -0.086440  1.281780  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_11b  10.4_11  10.4  b  11  -0.086440  1.281780  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_12t  10.4_12  10.4  t  12  -0.172880  1.281780  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_12b  10.4_12  10.4  b  12  -0.172880  1.281780  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_13t  10.4_13  10.4  t  13  -0.259321  1.281780  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_13b  10.4_13  10.4  b  13  -0.259321  1.281780  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_14t  10.4_14  10.4  t  14  0.302541  1.206921  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_14b  10.4_14  10.4  b  14  0.302541  1.206921  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_15t  10.4_15  10.4  t  15  0.216101  1.206921  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_15b  10.4_15  10.4  b  15  0.216101  1.206921  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_16t  10.4_16  10.4  t  16  0.129660  1.206921  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_16b  10.4_16  10.4  b  16  0.129660  1.206921  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_17t  10.4_17  10.4  t  17  0.043220  1.206921  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_17b  10.4_17  10.4  b  17  0.043220  1.206921  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_18t  10.4_18  10.4  t  18  -0.043220  1.206921  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_18b  10.4_18  10.4  b  18  -0.043220  1.206921  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_19t  10.4_19  10.4  t  19  -0.129660  1.206921  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_19b  10.4_19  10.4  b  19  -0.129660  1.206921  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_20t  10.4_20  10.4  t  20  -0.216101  1.206921  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_20b  10.4_20  10.4  b  20  -0.216101  1.206921  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_21t  10.4_21  10.4  t  21  -0.302541  1.206921  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_21b  10.4_21  10.4  b  21  -0.302541  1.206921  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_22t  10.4_22  10.4  t  22  0.345761  1.132061  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_22b  10.4_22  10.4  b  22  0.345761  1.132061  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_23t  10.4_23  10.4  t  23  0.259321  1.132061  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_23b  10.4_23  10.4  b  23  0.259321  1.132061  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_24t  10.4_24  10.4  t  24  0.172880  1.132061  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_24b  10.4_24  10.4  b  24  0.172880  1.132061  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_25t  10.4_25  10.4  t  25  0.086440  1.132061  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_25b  10.4_25  10.4  b  25  0.086440  1.132061  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_26t  10.4_26  10.4  t  26  0.000000  1.132061  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_26b  10.4_26  10.4  b  26  0.000000  1.132061  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_27t  10.4_27  10.4  t  27  -0.086440  1.132061  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_27b  10.4_27  10.4  b  27  -0.086440  1.132061  90.000000  1.000000  3.500000  3.500000  0.000000
10.4_28t  10.4_28  10.4  t  28  -0.172880  1.132061  -44.999743  1.000000  3.500000  3.500000  0.000000
10.4_28b  10.4_28  10.4  b  28  -0.172880  1.132061  45.000009  1.000000  3.500000  3.500000  0.000000
10.4_29t  10.4_29  10.4  t  29  -0.259321  1.132061  -0.000210  1.000000  3.500000  3.500000  0.000000
10.4_29b  10.4_29  10.4  b  29  -0.259321  1.132061  90.000000  1.000000  3.500000  3.500000  0.000000
